其他频道,#genre#
8戏曲B5,http://222.218.159.127:8181/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
8戏曲B5,http://113.15.186.251:8181/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
8戏曲B5,http://113.15.186.201:8181/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
B10,http://113.15.186.251:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
B10,http://222.218.159.127:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
B10,http://113.15.186.201:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
BTV休闲体育,http://115.171.86.183:9901/tsfile/live/16034_1.m3u8?key=txiptv&playlive=1&authid=0
BTV冬奥纪实,http://111.225.114.162:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
BTV卡酷少儿,http://115.171.86.183:9901/tsfile/live/16032_1.m3u8?key=txiptv&playlive=1&authid=0
BTV影视,http://115.171.86.183:9901/tsfile/live/16029_1.m3u8?key=txiptv&playlive=1&authid=0
BTV文艺,http://115.171.86.183:9901/tsfile/live/16028_1.m3u8?key=txiptv&playlive=1&authid=0
BTV生活,http://115.171.86.183:9901/tsfile/live/16031_1.m3u8?key=txiptv&playlive=1&authid=0
BTV纪实科教,http://115.171.86.183:9901/tsfile/live/16033_1.m3u8?key=txiptv&playlive=1&authid=0
BTV财经,http://115.171.86.183:9901/tsfile/live/16030_1.m3u8?key=txiptv&playlive=1&authid=0
CAN亚洲新闻台,http://180.167.104.105:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1,http://111.225.114.162:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://111.225.114.162:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://121.19.134.153:808/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://111.225.114.162:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://121.19.134.153:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://61.141.202.118:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://123.183.24.27:6666/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://222.71.189.186:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://61.141.202.118:9901/tsfile/live/0019_2.m3u8?key=txiptv&playlive=0&authid=0
CHC动作电影,http://112.235.202.127:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.200.153:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.200.85:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.202.159:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.200.195:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://183.94.212.30:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.200.61:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.202.197:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影K1,http://113.15.186.251:8181/tsfile/live/1121_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影K1,http://113.15.186.201:8181/tsfile/live/1121_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影K1,http://222.218.159.127:8181/tsfile/live/1121_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.200.85:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.200.195:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.200.61:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.202.159:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.202.127:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.202.197:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.200.153:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院K1,http://113.15.186.201:8181/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院K1,http://113.15.186.251:8181/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院K1,http://222.218.159.127:8181/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.202.197:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.200.195:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.200.85:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
